0.563868	0.543996	1.059410	6.233940
0.561071	0.539499	1.061546	6.156191
0.555039	0.534076	1.090171	6.096886
0.546534	0.527444	1.113592	6.044269
0.539057	0.517116	1.152620	5.998592
0.527903	0.502829	1.213284	5.971695
0.503433	0.472505	1.321176	5.952000
0.490019	0.449686	1.414196	5.941540
0.482231	0.436651	1.468923	5.946949
0.464295	0.395737	1.551825	5.907952
0.457758	0.394248	1.582259	5.886853
0.461472	0.406064	1.562292	5.874654
0.461401	0.413603	1.570541	5.851031
0.451073	0.402956	1.605642	5.848811
0.454437	0.409128	1.604177	5.825738
