0.494161	0.484853	1.414504	42.166634
0.323586	0.319017	1.954103	38.804961
0.420435	0.404045	1.650601	36.861654
0.489383	0.449103	1.540491	35.397257
0.479970	0.451101	1.453196	33.578606
0.527831	0.477891	1.377734	32.188842
0.538287	0.487613	1.309839	30.897945
0.535154	0.487374	1.263273	29.906506
0.530040	0.479792	1.272716	28.954874
0.533752	0.498086	1.318621	27.626244
0.521050	0.484256	1.249002	26.852428
0.533950	0.487959	1.246826	25.408156
0.541306	0.485783	1.280944	24.991803
0.529607	0.492125	1.218853	23.995819
0.550541	0.512039	1.174806	22.940426
0.524114	0.498134	1.198082	21.899975
0.554193	0.504260	1.213826	21.671562
0.527862	0.491839	1.233807	21.669872
0.563834	0.516954	1.210183	19.860053
0.532163	0.476572	1.210412	20.058714
0.546332	0.501738	1.227633	19.700471
0.529564	0.479803	1.225476	18.554613
0.561179	0.504671	1.228102	17.934944
0.549561	0.503437	1.164628	17.537872
0.557533	0.504269	1.160856	17.270707
0.527187	0.496620	1.273848	18.382192
0.543744	0.500298	1.176425	16.482383
0.551558	0.512995	1.147634	16.297946
0.547705	0.513569	1.175338	15.879773
0.562326	0.522317	1.139222	15.877375
0.552158	0.506852	1.166315	15.524492
0.547683	0.513263	1.131662	14.940896
0.558490	0.518626	1.124851	15.328350
0.546481	0.516417	1.141412	14.975055
0.568843	0.537904	1.104764	14.268272
0.584517	0.561786	1.075236	14.198245
0.565453	0.541428	1.060699	14.052362
0.569404	0.547364	1.096430	14.089437
0.574402	0.554060	1.062108	13.650069
0.573955	0.548952	1.069103	13.680264
0.582218	0.556425	1.006956	13.016853
0.571784	0.548097	1.098022	14.685842
0.577990	0.560358	1.029312	13.778505
0.578473	0.558223	1.006585	12.565555
0.593150	0.575948	1.002785	12.287136
